preseason_rank,player_name,season,past_season,player_age,team,team_qb,team_qb_season,team_qb_age,teammate,teammate_season,teammate_age
5,Drake London,2026,2025,25,ATL,Michael Penix Jr.,2025,26,Darnell Mooney,2025,27
6,CeeDee Lamb,2026,2025,27,DAL,Dak Prescott,2025,33,George Pickens,2025,25
7,Justin Jefferson,2026,2025,27,MIN,Kyler Murray,2025,29,Jauan Jennings,2025,29
8,A.J. Brown,2026,2025,29,NE,Drake Maye,2025,23,Romeo Doubs,2025,26
9,Rashee Rice,2026,2025,26,KC,Patrick Mahomes,2025,30,Xavier Worthy,2025,23
10,George Pickens,2026,2025,25,DAL,Dak Prescott,2025,33,CeeDee Lamb,2025,27
11,Chris Olave,2026,2025,26,NO,Tyler Shough,2025,26,Devaughn Vele,2025,27
12,Nico Collins,2026,2025,27,HOU,C.J. Stroud,2025,24,Jayden Higgins,2025,22
13,Garrett Wilson,2026,2025,26,NYJ,Geno Smith,2025,35,Allen Lazard,2025,31
14,Zay Flowers,2026,2025,26,BAL,Lamar Jackson,2025,29,Rashod Bateman,2025,27
15,DeVonta Smith,2026,2025,28,PHI,Jalen Hurts,2025,28,Dontayvion Wicks,2025,25
16,Tetairoa McMillan,2026,2025,23,CAR,Bryce Young,2025,25,Xavier Legette,2025,25
17,Tee Higgins,2026,2025,27,CIN,Joe Burrow,2025,29,Ja'Marr Chase,2025,26
18,Emeka Egbuka,2026,2025,23,TB,Baker Mayfield,2025,31,Chris Godwin,2025,30
19,Ladd McConkey,2026,2025,24,LAC,Justin Herbert,2025,28,Quentin Johnston,2025,24
20,Terry McLaurin,2026,2025,30,WAS,Jayden Daniels,2025,26,Stefon Diggs,2025,32
21,Davante Adams,2026,2025,33,LAR,Matthew Stafford,2025,38,Puka Nacua,2025,25
22,Malik Nabers,2026,2025,23,NYG,Jaxson Dart,2025,23,Darius Slayton,2025,29
23,Jaylen Waddle,2026,2025,28,DEN,Bo Nix,2025,26,Courtland Sutton,2025,30
24,Jameson Williams,2026,2025,25,DET,Jared Goff,2025,31,Amon-Ra St. Brown,2025,27
25,Luther Burden III,2026,2025,22,CHI,Caleb Williams,2025,24,Rome Odunze,2025,24
26,Rome Odunze,2026,2025,24,CHI,Caleb Williams,2025,24,Luther Burden III,2025,22
27,Mike Evans,2026,2025,33,SF,Brock Purdy,2025,26,Ricky Pearsall,2025,25
28,DK Metcalf,2026,2025,28,PIT,Aaron Rodgers,2025,42,Michael Pittman Jr.,2025,28
29,Christian Watson,2026,2025,26,GB,Jordan Love,2025,27,Jayden Reed,2025,26
30,DJ Moore,2026,2025,29,BUF,Josh Allen,2025,30,Khalil Shakir,2025,26
31,Alec Pierce,2026,2025,25,IND,Daniel Jones,2025,29,Josh Downs,2025,25
32,Courtland Sutton,2026,2025,30,DEN,Bo Nix,2025,26,Jaylen Waddle,2025,28
33,Marvin Harrison Jr.,2026,2025,23,ARI,Jacoby Brissett,2025,33,Michael Wilson,2025,25
34,Michael Pittman Jr.,2026,2025,28,PIT,Aaron Rodgers,2025,42,DK Metcalf,2025,28
35,Parker Washington,2026,2025,24,JAX,Trevor Lawrence,2025,26,Brian Thomas Jr.,2025,23
36,Brian Thomas Jr.,2026,2025,23,JAX,Trevor Lawrence,2025,26,Parker Washington,2025,24
37,Jakobi Meyers,2026,2025,29,JAX,Trevor Lawrence,2025,26,Parker Washington,2025,24
38,Wan'Dale Robinson,2026,2025,25,TEN,Cam Ward,2025,24,Calvin Ridley,2025,31
39,Chris Godwin,2026,2025,30,TB,Baker Mayfield,2025,31,Emeka Egbuka,2025,23
40,Michael Wilson,2026,2025,25,ARI,Jacoby Brissett,2025,33,Marvin Harrison Jr.,2025,23
41,Jayden Reed,2026,2025,26,GB,Jordan Love,2025,27,Christian Watson,2025,26
42,Josh Downs,2026,2025,25,IND,Daniel Jones,2025,29,Alec Pierce,2025,25
43,Quentin Johnston,2026,2025,24,LAC,Justin Herbert,2025,28,Ladd McConkey,2025,24
44,Ricky Pearsall,2026,2025,25,SF,Brock Purdy,2025,26,Mike Evans,2025,33
45,Xavier Worthy,2026,2025,23,KC,Patrick Mahomes,2025,30,Rashee Rice,2025,26
46,Romeo Doubs,2026,2025,26,NE,Drake Maye,2025,23,A.J. Brown,2025,29
47,Khalil Shakir,2026,2025,26,BUF,Josh Allen,2025,30,DJ Moore,2025,29
48,John Metchie III,2026,2025,25,CAR,Bryce Young,2025,25,Tetairoa McMillan,2025,23
49,Matthew Golden,2026,2025,22,GB,Jordan Love,2025,27,Christian Watson,2025,26
50,Rashid Shaheed,2026,2025,27,SEA,Sam Darnold,2025,29,Jaxon Smith-Njigba,2025,24
51,Jalen Coker,2026,2025,23,CAR,Bryce Young,2025,25,Tetairoa McMillan,2025,23
52,Jayden Higgins,2026,2025,22,HOU,C.J. Stroud,2025,24,Nico Collins,2025,27
53,Tre Tucker,2026,2025,25,LV,Kirk Cousins,2025,37,Jalen Nailor,2025,26
54,Jalen McMillan,2026,2025,24,TB,Baker Mayfield,2025,31,Emeka Egbuka,2025,23
55,Theo Wease Jr.,2026,2025,23,MIA,Malik Willis,2025,27,Malik Washington,2025,24
56,Jauan Jennings,2026,2025,29,MIN,Kyler Murray,2025,29,Justin Jefferson,2025,27
